date,machine_id,target_units,units_produced,defective_units,downtime_minutes,shift_duration_min,failure_flag,efficiency_pct,defect_rate_pct,downtime_pct,efficiency_pct_baseline,efficiency_pct_zscore,efficiency_pct_breach,defect_rate_pct_baseline,defect_rate_pct_zscore,defect_rate_pct_breach,downtime_pct_baseline,downtime_pct_zscore,downtime_pct_breach,breach_count,severity,is_anomaly
2026-01-01,M1,1752,1708,38,55,1440,False,97.49,2.22,3.82,,,False,,,False,,,False,0,NONE,False
2026-01-02,M1,1752,1633,25,70,1440,False,93.21,1.53,4.86,,,False,,,False,,,False,0,NONE,False
2026-01-03,M1,1226,1152,26,41,1440,False,93.96,2.26,2.85,,,False,,,False,,,False,0,NONE,False
2026-01-04,M1,1226,1196,16,56,1440,False,97.55,1.34,3.89,,,False,,,False,,,False,0,NONE,False
2026-01-05,M1,1752,1673,31,48,1440,False,95.49,1.85,3.33,,,False,,,False,,,False,0,NONE,False
2026-01-06,M1,1752,1656,38,38,1440,False,94.52,2.29,2.64,95.54,-0.51,False,1.84,1.1,False,3.75,-1.48,False,0,NONE,False
2026-01-07,M1,1752,1675,25,68,1440,False,95.61,1.49,4.72,95.37,0.13,False,1.92,-1.04,False,3.56,1.43,False,0,NONE,False
2026-01-08,M1,1752,1661,35,69,1440,False,94.81,2.11,4.79,95.4,-0.36,False,1.85,0.63,False,3.73,1.24,False,0,NONE,False
2026-01-09,M1,1752,1666,42,53,1440,False,95.09,2.52,3.68,95.33,-0.15,False,1.89,1.64,False,3.86,-0.21,False,0,NONE,False
2026-01-10,M1,1226,1147,19,70,1440,False,93.56,1.66,4.86,95.3,-1.19,False,1.96,-0.71,False,3.84,1.24,False,0,NONE,False
2026-01-11,M1,1226,1156,22,40,1440,False,94.29,1.9,2.78,95.13,-0.57,False,1.93,-0.07,False,3.94,-1.38,False,0,NONE,False
2026-01-12,M1,1752,1671,23,65,1440,False,95.38,1.38,4.51,95.05,0.23,False,1.92,-1.41,False,3.84,0.77,False,0,NONE,False
2026-01-13,M1,1752,1696,22,57,1440,False,96.8,1.3,3.96,95.08,1.26,False,1.88,-1.45,False,3.89,0.08,False,0,NONE,False
2026-01-14,M1,1752,1656,31,53,1440,False,94.52,1.87,3.68,95.21,-0.5,False,1.83,0.09,False,3.9,-0.27,False,0,NONE,False
2026-01-15,M1,1752,1621,35,34,1440,False,92.52,2.16,2.36,95.16,-1.96,False,1.84,0.81,False,3.88,-1.94,False,0,NONE,False
2026-01-16,M1,1752,1629,34,77,1440,False,92.98,2.09,5.35,94.81,-1.36,False,1.83,0.65,False,3.78,1.77,False,0,NONE,False
2026-01-17,M1,1226,1165,21,41,1440,False,95.02,1.8,2.85,94.79,0.17,False,1.87,-0.19,False,3.81,-1.03,False,0,NONE,False
2026-01-18,M1,1226,1127,29,81,1440,False,91.92,2.57,5.62,94.87,-2.19,True,1.84,1.95,False,3.81,1.92,False,1,LOW,True
2026-01-19,M1,1752,1650,39,56,1440,False,94.18,2.36,3.89,94.46,-0.22,False,1.93,1.1,False,3.94,-0.05,False,0,NONE,False
2026-01-20,M1,1752,1600,38,74,1440,False,91.32,2.38,5.14,94.37,-2.36,True,1.96,1.02,False,3.98,1.11,False,1,LOW,True
2026-01-21,M1,1752,1653,37,61,1440,False,94.35,2.24,4.24,94.14,0.14,False,1.97,0.65,False,4.16,0.08,False,0,NONE,False
2026-01-22,M1,1752,1631,26,60,1440,False,93.09,1.59,4.17,94.05,-0.66,False,2.02,-1.1,False,4.12,0.05,False,0,NONE,False
2026-01-23,M1,1752,1666,27,49,1440,False,95.09,1.62,3.4,93.93,0.79,False,1.99,-0.9,False,4.08,-0.69,False,0,NONE,False
2026-01-24,M1,1226,1168,27,57,1440,False,95.27,2.31,3.96,93.93,0.91,False,1.92,0.99,False,4.06,-0.1,False,0,NONE,False
2026-01-25,M1,1226,1184,25,55,1440,False,96.57,2.11,3.82,94.05,1.67,False,1.97,0.36,False,3.99,-0.18,False,0,NONE,False
2026-01-26,M1,1752,1630,41,56,1440,False,93.04,2.52,3.89,94.22,-0.71,False,1.98,1.35,False,4.07,-0.2,False,0,NONE,False
2026-01-27,M1,1752,1629,32,48,1440,False,92.98,1.96,3.33,94.05,-0.65,False,2.07,-0.28,False,4.02,-0.78,False,0,NONE,False
2026-01-28,M1,1752,1658,42,53,1440,False,94.63,2.53,3.68,93.78,0.59,False,2.11,1.34,False,3.98,-0.33,False,0,NONE,False
2026-01-29,M1,1752,1638,32,45,1440,False,93.49,1.95,3.12,93.78,-0.2,False,2.16,-0.65,False,3.98,-0.94,False,0,NONE,False
2026-01-30,M1,1752,1662,42,61,1440,False,94.86,2.53,4.24,93.85,0.71,False,2.14,1.18,False,4.03,0.25,False,0,NONE,False
2026-01-31,M1,1226,1140,19,31,1440,False,92.99,1.67,2.15,93.99,-0.7,False,2.18,-1.48,False,3.95,-2.44,False,0,NONE,False
2026-02-01,M1,1226,1175,22,47,1440,False,95.84,1.87,3.26,93.84,1.42,False,2.17,-0.84,False,3.9,-0.77,False,0,NONE,False
2026-02-02,M1,1752,1625,42,62,1440,False,92.75,2.58,4.31,94.12,-0.99,False,2.12,1.35,False,3.74,0.83,False,0,NONE,False
2026-02-03,M1,1752,1677,32,41,1440,False,95.72,1.91,2.85,94.02,1.18,False,2.13,-0.62,False,3.76,-1.3,False,0,NONE,False
2026-02-04,M1,1752,1654,25,38,1440,False,94.41,1.51,2.64,94.33,0.06,False,2.1,-1.66,False,3.6,-1.54,False,0,NONE,False
2026-02-05,M1,1752,1650,23,66,1440,False,94.18,1.39,4.58,94.34,-0.12,False,2.05,-1.7,False,3.49,1.7,False,0,NONE,False
2026-02-06,M1,1752,1628,40,70,1440,False,92.92,2.46,4.86,94.42,-1.22,False,2.03,1.05,False,3.52,1.96,False,0,NONE,False
2026-02-07,M1,1226,1157,23,44,1440,False,94.37,1.99,3.06,94.26,0.09,False,2.09,-0.25,False,3.62,-0.73,False,0,NONE,False
2026-02-08,M1,1226,1179,23,45,1440,False,96.17,1.95,3.12,94.2,1.6,False,2.07,-0.3,False,3.56,-0.56,False,0,NONE,False
2026-02-09,M1,1752,1712,40,64,1440,False,97.72,2.34,4.44,94.17,3.01,False,2.06,0.7,False,3.51,1.19,False,0,NONE,False
2026-02-10,M1,1752,1657,30,28,1440,False,94.58,1.81,1.94,94.5,0.05,False,2.05,-0.61,False,3.55,-1.97,False,0,NONE,False
2026-02-11,M1,1752,1657,36,74,1440,False,94.58,2.17,5.14,94.62,-0.03,False,2.03,0.34,False,3.45,1.84,False,0,NONE,False
2026-02-12,M1,1752,1635,36,66,1440,False,93.32,2.2,4.58,94.61,-0.93,False,2.01,0.52,False,3.55,1.0,False,0,NONE,False
2026-02-13,M1,1752,1653,39,64,1440,False,94.35,2.36,4.44,94.6,-0.18,False,2.03,0.9,False,3.66,0.74,False,0,NONE,False
