date,machine_id,shift,target_units,units_produced,defective_units,downtime_minutes,shift_duration_min,failure_flag
2026-01-01,M1,Morning,600,572,12,23,480,False
2026-01-01,M1,Evening,600,591,12,17,480,False
2026-01-01,M1,Night,552,545,14,15,480,False
2026-01-01,M2,Morning,533,509,9,15,480,False
2026-01-01,M2,Evening,533,504,5,6,480,False
2026-01-01,M2,Night,490,452,7,21,480,False
2026-01-01,M3,Morning,566,516,6,29,480,False
2026-01-01,M3,Evening,566,528,11,8,480,False
2026-01-01,M3,Night,520,480,10,10,480,False
2026-01-01,M4,Morning,500,475,8,17,480,False
2026-01-01,M4,Evening,500,460,15,19,480,False
2026-01-01,M4,Night,460,417,11,10,480,False
2026-01-01,M5,Morning,550,520,5,9,480,False
2026-01-01,M5,Evening,550,520,13,20,480,False
2026-01-01,M5,Night,506,473,9,8,480,False
2026-01-02,M1,Morning,600,551,10,26,480,False
2026-01-02,M1,Evening,600,570,6,21,480,False
2026-01-02,M1,Night,552,512,9,23,480,False
2026-01-02,M2,Morning,533,517,14,13,480,False
2026-01-02,M2,Evening,533,496,11,26,480,False
2026-01-02,M2,Night,490,453,9,11,480,False
2026-01-02,M3,Morning,566,511,13,28,480,False
2026-01-02,M3,Evening,566,530,14,21,480,False
2026-01-02,M3,Night,520,478,11,30,480,False
2026-01-02,M4,Morning,500,469,14,0,480,False
2026-01-02,M4,Evening,500,482,10,17,480,False
2026-01-02,M4,Night,460,433,4,17,480,False
2026-01-02,M5,Morning,550,522,16,15,480,False
2026-01-02,M5,Evening,550,503,9,25,480,False
2026-01-02,M5,Night,506,480,9,22,480,False
2026-01-03,M1,Morning,420,396,11,14,480,False
2026-01-03,M1,Evening,420,390,7,8,480,False
2026-01-03,M1,Night,386,366,8,19,480,False
2026-01-03,M2,Morning,373,347,4,16,480,False
2026-01-03,M2,Evening,373,346,5,18,480,False
2026-01-03,M2,Night,343,326,10,20,480,False
2026-01-03,M3,Morning,396,375,8,5,480,False
2026-01-03,M3,Evening,396,371,8,36,480,False
2026-01-03,M3,Night,364,340,8,18,480,False
2026-01-03,M4,Morning,350,316,9,24,480,False
2026-01-03,M4,Evening,350,337,5,29,480,False
2026-01-03,M4,Night,322,289,7,34,480,False
2026-01-03,M5,Morning,385,350,6,19,480,False
2026-01-03,M5,Evening,385,356,4,19,480,False
2026-01-03,M5,Night,354,321,7,12,480,False
2026-01-04,M1,Morning,420,414,7,16,480,False
2026-01-04,M1,Evening,420,405,5,20,480,False
2026-01-04,M1,Night,386,377,4,20,480,False
2026-01-04,M2,Morning,373,353,9,10,480,False
2026-01-04,M2,Evening,373,335,8,21,480,False
2026-01-04,M2,Night,343,324,7,14,480,False
2026-01-04,M3,Morning,396,374,8,14,480,False
2026-01-04,M3,Evening,396,394,9,10,480,False
2026-01-04,M3,Night,364,349,5,24,480,False
2026-01-04,M4,Morning,350,341,5,26,480,False
2026-01-04,M4,Evening,350,333,8,32,480,False
2026-01-04,M4,Night,322,300,5,12,480,False
2026-01-04,M5,Morning,385,352,7,21,480,False
2026-01-04,M5,Evening,385,365,9,19,480,False
2026-01-04,M5,Night,354,348,7,38,480,False
2026-01-05,M1,Morning,600,575,9,11,480,False
2026-01-05,M1,Evening,600,572,11,24,480,False
2026-01-05,M1,Night,552,526,11,13,480,False
2026-01-05,M2,Morning,533,476,9,25,480,False
2026-01-05,M2,Evening,533,504,7,20,480,False
2026-01-05,M2,Night,490,466,7,20,480,False
2026-01-05,M3,Morning,566,533,8,21,480,False
2026-01-05,M3,Evening,566,541,15,26,480,False
2026-01-05,M3,Night,520,467,7,22,480,False
2026-01-05,M4,Morning,500,477,11,46,480,False
2026-01-05,M4,Evening,500,478,13,26,480,False
2026-01-05,M4,Night,460,441,8,24,480,False
2026-01-05,M5,Morning,550,504,10,15,480,False
2026-01-05,M5,Evening,550,518,18,5,480,False
2026-01-05,M5,Night,506,486,5,15,480,False
2026-01-06,M1,Morning,600,583,13,11,480,False
2026-01-06,M1,Evening,600,551,14,13,480,False
2026-01-06,M1,Night,552,522,11,14,480,False
2026-01-06,M2,Morning,533,535,13,4,480,False
2026-01-06,M2,Evening,533,504,9,25,480,False
2026-01-06,M2,Night,490,448,9,22,480,False
2026-01-06,M3,Morning,566,546,8,16,480,False
2026-01-06,M3,Evening,566,523,9,31,480,False
2026-01-06,M3,Night,520,495,7,25,480,False
2026-01-06,M4,Morning,500,501,14,8,480,False
2026-01-06,M4,Evening,500,462,13,14,480,False
2026-01-06,M4,Night,460,438,11,12,480,False
2026-01-06,M5,Morning,550,516,1,11,480,False
2026-01-06,M5,Evening,550,512,7,30,480,False
2026-01-06,M5,Night,506,453,8,20,480,False
2026-01-07,M1,Morning,600,589,7,27,480,False
2026-01-07,M1,Evening,600,564,9,22,480,False
2026-01-07,M1,Night,552,522,9,19,480,False
2026-01-07,M2,Morning,533,494,11,23,480,False
2026-01-07,M2,Evening,533,526,7,34,480,False
2026-01-07,M2,Night,490,431,9,23,480,False
2026-01-07,M3,Morning,566,536,9,17,480,False
2026-01-07,M3,Evening,566,523,9,25,480,False
2026-01-07,M3,Night,520,494,8,25,480,False
2026-01-07,M4,Morning,500,474,12,23,480,False
2026-01-07,M4,Evening,500,457,8,24,480,False
2026-01-07,M4,Night,460,440,9,20,480,False
2026-01-07,M5,Morning,550,538,9,23,480,False
2026-01-07,M5,Evening,550,513,10,27,480,False
2026-01-07,M5,Night,506,488,13,28,480,False
2026-01-08,M1,Morning,600,564,14,16,480,False
2026-01-08,M1,Evening,600,569,12,19,480,False
2026-01-08,M1,Night,552,528,9,34,480,False
2026-01-08,M2,Morning,533,484,7,27,480,False
2026-01-08,M2,Evening,533,513,13,23,480,False
2026-01-08,M2,Night,490,460,7,19,480,False
2026-01-08,M3,Morning,566,520,14,18,480,False
2026-01-08,M3,Evening,566,518,10,22,480,False
2026-01-08,M3,Night,520,480,8,20,480,False
2026-01-08,M4,Morning,500,473,8,15,480,False
2026-01-08,M4,Evening,500,473,6,9,480,False
2026-01-08,M4,Night,460,422,8,21,480,False
2026-01-08,M5,Morning,550,541,14,18,480,False
2026-01-08,M5,Evening,550,516,8,19,480,False
2026-01-08,M5,Night,506,471,11,13,480,False
2026-01-09,M1,Morning,600,573,17,18,480,False
2026-01-09,M1,Evening,600,571,14,16,480,False
2026-01-09,M1,Night,552,522,11,19,480,False
2026-01-09,M2,Morning,533,488,10,22,480,False
2026-01-09,M2,Evening,533,524,14,34,480,False
2026-01-09,M2,Night,490,449,12,20,480,False
2026-01-09,M3,Morning,566,569,9,13,480,False
2026-01-09,M3,Evening,566,521,4,15,480,False
2026-01-09,M3,Night,520,476,10,21,480,False
2026-01-09,M4,Morning,500,498,13,15,480,False
2026-01-09,M4,Evening,500,456,11,9,480,False
2026-01-09,M4,Night,460,457,13,15,480,False
2026-01-09,M5,Morning,550,488,14,18,480,False
2026-01-09,M5,Evening,550,537,6,14,480,False
2026-01-09,M5,Night,506,475,10,15,480,False
2026-01-10,M1,Morning,420,402,6,18,480,False
2026-01-10,M1,Evening,420,396,9,24,480,False
2026-01-10,M1,Night,386,349,4,28,480,False
2026-01-10,M2,Morning,373,354,6,30,480,False
2026-01-10,M2,Evening,373,351,10,19,480,False
2026-01-10,M2,Night,343,343,11,17,480,False
2026-01-10,M3,Morning,396,383,9,29,480,False
2026-01-10,M3,Evening,396,360,9,26,480,False
2026-01-10,M3,Night,364,322,4,4,480,False
2026-01-10,M4,Morning,350,326,8,30,480,False
2026-01-10,M4,Evening,350,329,10,9,480,False
2026-01-10,M4,Night,322,286,6,21,480,False
2026-01-10,M5,Morning,385,361,3,18,480,False
2026-01-10,M5,Evening,385,346,9,21,480,False
2026-01-10,M5,Night,354,322,6,11,480,False
2026-01-11,M1,Morning,420,394,10,12,480,False
2026-01-11,M1,Evening,420,401,7,13,480,False
2026-01-11,M1,Night,386,361,5,15,480,False
2026-01-11,M2,Morning,373,337,11,19,480,False
2026-01-11,M2,Evening,373,342,7,18,480,False
2026-01-11,M2,Night,343,320,8,24,480,False
2026-01-11,M3,Morning,396,365,6,17,480,False
2026-01-11,M3,Evening,396,344,4,29,480,False
2026-01-11,M3,Night,364,360,7,23,480,False
2026-01-11,M4,Morning,350,332,13,27,480,False
2026-01-11,M4,Evening,350,327,5,7,480,False
2026-01-11,M4,Night,322,304,5,8,480,False
2026-01-11,M5,Morning,385,354,5,31,480,False
2026-01-11,M5,Evening,385,372,8,29,480,False
2026-01-11,M5,Night,354,333,5,30,480,False
2026-01-12,M1,Morning,600,573,9,17,480,False
2026-01-12,M1,Evening,600,548,7,25,480,False
2026-01-12,M1,Night,552,550,7,23,480,False
2026-01-12,M2,Morning,533,490,9,14,480,False
2026-01-12,M2,Evening,533,487,10,13,480,False
2026-01-12,M2,Night,490,464,10,17,480,False
2026-01-12,M3,Morning,566,516,9,24,480,False
2026-01-12,M3,Evening,566,540,8,19,480,False
2026-01-12,M3,Night,520,500,5,23,480,False
2026-01-12,M4,Morning,500,460,11,13,480,False
2026-01-12,M4,Evening,500,442,5,19,480,False
2026-01-12,M4,Night,460,435,7,23,480,False
2026-01-12,M5,Morning,550,489,10,10,480,False
2026-01-12,M5,Evening,550,506,11,13,480,False
2026-01-12,M5,Night,506,469,13,15,480,False
2026-01-13,M1,Morning,600,579,8,23,480,False
2026-01-13,M1,Evening,600,589,4,13,480,False
2026-01-13,M1,Night,552,528,10,21,480,False
2026-01-13,M2,Morning,533,491,11,18,480,False
2026-01-13,M2,Evening,533,519,12,21,480,False
2026-01-13,M2,Night,490,454,8,16,480,False
2026-01-13,M3,Morning,566,538,10,21,480,False
2026-01-13,M3,Evening,566,567,15,16,480,False
2026-01-13,M3,Night,520,507,9,4,480,False
2026-01-13,M4,Morning,500,454,4,16,480,False
2026-01-13,M4,Evening,500,470,15,21,480,False
2026-01-13,M4,Night,460,429,11,3,480,False
2026-01-13,M5,Morning,550,520,13,8,480,False
2026-01-13,M5,Evening,550,535,12,16,480,False
2026-01-13,M5,Night,506,485,17,20,480,False
2026-01-14,M1,Morning,600,568,10,13,480,False
2026-01-14,M1,Evening,600,578,9,19,480,False
2026-01-14,M1,Night,552,510,12,21,480,False
2026-01-14,M2,Morning,533,517,9,17,480,False
